"SERIES_CODE","COUNTRY.ID","COUNTRY","INDICATOR.ID","INDICATOR","SCALE.ID","SCALE","UNIT.ID","UNIT","COUNTRY_UPDATE_DATE","METHODOLOGY","METHODOLOGY_NOTES","KEY_INDICATOR","SERIES_NAME","LATEST_ACTUAL_ANNUAL_DATA","HISTORICAL_DATA_SOURCE","BASE_YEAR","START_END_MONTHS_OF_REPORTING_YEAR","CHAIN_WEIGHTED","PRIMARY_DOMESTIC_CURRENCY","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","X2023","X2024","X2025","X2026","X2027","X2028","X2029","X2030"
"DZA.NGDPRPPPPC.A","DZA","Algeria","NGDPRPPPPC","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",0,"Units","","","9/12/2025","System of National Accounts (SNA) 2008","From 2001 and onward, the nominal GDP and its components are computed according to the 2008 System of National Accounts (SNA) standard with base year 2001. Before 2001, these data are based on the 1968 SNA with base year 1989.","","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021","2024","National Statistics Office","2001","January/December","Yes, from 2005","Algerian dinar",12106.368,12093.775,12467.44,12723.07,13017.426,13111.713,12741.136,12327.539,11742.058,12006.753,11947.06,11517.843,11422.393,10923.202,10587.892,10774.279,10985.601,10923.279,11300.614,11483.983,11708.976,11885.696,12344.081,12952.249,13333.951,13844.811,14034.438,14252.835,14299.581,14193.389,14581.13,14716.287,14756.795,14823.406,15108.844,15261.074,15517.278,15415.942,15317.132,15153.888,14256.01,14556.823,14843.083,15222.25,15564.458,15874.092,16123.744,16370.606,16619.474,16832.065,16878.803
"AND.NGDP_R.A","AND","Andorra, Principality of","NGDP_R","Gross domestic product (GDP), Constant prices, Domestic currency",9,"Billions","XDC","Domestic currency","9/10/2025","Other","","true","Gross domestic product (GDP), Constant prices, Domestic currency","2024","National Statistics Office","2010","January/December","No","Euro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.992,2.153,2.251,2.447,2.646,2.789,2.923,2.968,2.803,2.655,2.602,2.602,2.473,2.385,2.445,2.48,2.572,2.581,2.622,2.674,2.375,2.572,2.818,2.891,2.989,3.06,3.109,3.156,3.203,3.251,3.3
"AND.NGDPRPC.A","AND","Andorra, Principality of","NGDPRPC","Gross domestic product (GDP), Constant prices, Per capita, Domestic currency",0,"Units","XDC","Domestic currency","9/10/2025","Other","","true","Gross domestic product (GDP), Constant prices, Per capita, Domestic currency","2024","National Statistics Office","2010","January/December","No","Euro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37022.478,37294.33,35446.257,34087.128,34641.774,34569.369,35178.442,34503.035,34414.85,34490.025,30447.35,32340.353,34541.967,33971.634,34312.663,34330.952,34080.897,33799.364,33520.157,33243.256,32968.642
"AND.NGDPRPPPPC.A","AND","Andorra, Principality of","NGDPRPPPPC","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",0,"Units","","","9/10/2025","Other","","","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021","2024","National Statistics Office","2010","January/December","No","Euro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66922.092,67413.494,64072.904,61616.133,62618.715,62487.835,63588.799,62367.929,62208.524,62344.412,55036.844,58458.65,62438.303,61407.364,62023.811,62056.871,61604.87,61095.969,60591.271,60090.743,59594.35
"AGO.NGDP_R.A","AGO","Angola","NGDP_R","Gross domestic product (GDP), Constant prices, Domestic currency",9,"Billions","XDC","Domestic currency","9/9/2025","European System of Accounts (ESA) 1995","Historical data source: Ministry of Planning. Starting from the year 2002, historical National Accounts data are provided by Angola's National Institute of Statistics (INE) and the composition of aggregate demand was revised taking into account updated information from the authorities National Accounts statistics. Data for prior years are based on different sources and/or estimated by IMF staff, including using a ratio slicing method in order to avoid breaks in the data. The Bureau of Statistics, Instituto Nacional De EstatÍsticas, has published rebased national accounts in May 2024. The base year was revised from 2002 to 2015 to reflect changes in the economic structure over that period. As a result, 2023 nominal GDP increased by 13.1 percent. The main sector that was upwardly revised is agriculture.","true","Gross domestic product (GDP), Constant prices, Domestic currency","2024","National Statistics Office","2015","January/December","No","Angolan kwanza",2033.967,1944.473,1944.473,2026.14,2147.709,2222.879,2287.342,2380.729,2526.641,2527.692,2440.485,2735.381,3047.287,3381.55,3736.974,4124.258,4586.493,4920.127,5150.938,5263.305,5424.079,5652.216,6424.63,6648.849,7408.148,8456.401,9457.639,10687.132,11840.273,12077.079,12715.956,13172.459,14292.118,14989.573,15688.088,15807.317,15538.593,15516.839,15425.289,15394.439,14772.503,15082.726,15719.217,15917.802,16621.999,16969.416,17322.121,17756.187,18264.099,18806.681,19386.623
"AGO.NGDPRPC.A","AGO","Angola","NGDPRPC","Gross domestic product (GDP), Constant prices, Per capita, Domestic currency",0,"Units","XDC","Domestic currency","9/9/2025","European System of Accounts (ESA) 1995","Historical data source: Ministry of Planning. Starting from the year 2002, historical National Accounts data are provided by Angola's National Institute of Statistics (INE) and the composition of aggregate demand was revised taking into account updated information from the authorities National Accounts statistics. Data for prior years are based on different sources and/or estimated by IMF staff, including using a ratio slicing method in order to avoid breaks in the data. The Bureau of Statistics, Instituto Nacional De EstatÍsticas, has published rebased national accounts in May 2024. The base year was revised from 2002 to 2015 to reflect changes in the economic structure over that period. As a result, 2023 nominal GDP increased by 13.1 percent. The main sector that was upwardly revised is agriculture.","true","Gross domestic product (GDP), Constant prices, Per capita, Domestic currency","2024","National Statistics Office","2015","January/December","No","Angolan kwanza",245892.711,228887.286,222988.129,226425.775,233829.45,214769.677,214859.168,218058.716,225320.361,219396.927,206320.001,223685.551,241225.856,259355.727,277593.654,296447.916,318875.16,330850.579,335197.711,331635.482,330856.318,333629.647,366783.442,366846.385,394656.577,434754.958,469074.459,511109.195,545847.971,536576.047,544249.937,542990.179,567411.163,573280.769,578291.531,561983.568,532969.576,513655.853,493237.82,475818.591,441913.622,437132.642,441687.675,433914.36,437787.971,431824.347,425893.437,421802.583,419196.287,417052.736,415375.277
"AGO.NGDPRPPPPC.A","AGO","Angola","NGDPRPPPPC","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",0,"Units","","","9/9/2025","European System of Accounts (ESA) 1995","Historical data source: Ministry of Planning. Starting from the year 2002, historical National Accounts data are provided by Angola's National Institute of Statistics (INE) and the composition of aggregate demand was revised taking into account updated information from the authorities National Accounts statistics. Data for prior years are based on different sources and/or estimated by IMF staff, including using a ratio slicing method in order to avoid breaks in the data. The Bureau of Statistics, Instituto Nacional De EstatÍsticas, has published rebased national accounts in May 2024. The base year was revised from 2002 to 2015 to reflect changes in the economic structure over that period. As a result, 2023 nominal GDP increased by 13.1 percent. The main sector that was upwardly revised is agriculture.","","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021","2024","National Statistics Office","2015","January/December","No","Angolan kwanza",4989.287,4644.238,4524.541,4594.293,4744.517,4357.785,4359.601,4424.521,4571.864,4451.674,4186.337,4538.692,4894.594,5262.458,5632.515,6015.077,6470.137,6713.125,6801.33,6729.051,6713.241,6769.513,7442.221,7443.498,8007.781,8821.397,9517.757,10370.663,11075.53,10887.398,11043.105,11017.544,11513.058,11632.155,11733.826,11402.929,10814.221,10422.336,10008.044,9654.599,8966.65,8869.641,8962.065,8804.341,8882.938,8761.933,8641.592,8558.587,8505.704,8462.21,8428.173
"ATG.NGDP_R.A","ATG","Antigua and Barbuda","NGDP_R","Gross domestic product (GDP), Constant prices, Domestic currency",9,"Billions","XDC","Domestic currency","9/22/2025","System of National Accounts (SNA) 1993","Historical values for expenditure based GDP components are not reported by authorities and are estimated by IMF staff using data from balance of payments and fiscal accounts. GDP expenditure component estimates prior 2014 have been removed due to internal inconsistencies arising from methodological changes to international trade estimates from the balance of payments applicable to data reported after 2014. GDP valuation: Nominal and real GDP are measured at market prices. Quarterly GDP is not available.","true","Gross domestic product (GDP), Constant prices, Domestic currency","2023","Central Bank","2018","January/December","No","Eastern Caribbean dollar",1.292,1.341,1.34,1.412,1.556,1.674,1.867,1.991,2.094,2.204,2.271,2.32,2.347,2.471,2.636,2.521,2.688,2.835,2.969,3.079,3.27,3.121,3.153,3.345,3.538,3.767,4.245,4.641,4.64,4.085,3.765,3.691,3.815,3.792,3.876,3.931,4.093,4.204,4.486,4.628,3.755,4.062,4.432,4.54,4.706,4.822,4.941,5.067,5.192,5.321,5.454
"ATG.NGDPRPC.A","ATG","Antigua and Barbuda","NGDPRPC","Gross domestic product (GDP), Constant prices, Per capita, Domestic currency",0,"Units","XDC","Domestic currency","9/22/2025","System of National Accounts (SNA) 1993","Historical values for expenditure based GDP components are not reported by authorities and are estimated by IMF staff using data from balance of payments and fiscal accounts. GDP expenditure component estimates prior 2014 have been removed due to internal inconsistencies arising from methodological changes to international trade estimates from the balance of payments applicable to data reported after 2014. GDP valuation: Nominal and real GDP are measured at market prices. Quarterly GDP is not available.","true","Gross domestic product (GDP), Constant prices, Per capita, Domestic currency","2023","Central Bank","2018","January/December","No","Eastern Caribbean dollar",18875.712,19750.516,19962.989,21340.803,23895.165,26159.471,29680.36,32205.843,34397.345,36537.602,37675.133,38183.168,38003.235,39125.289,40682.571,37884.785,39296.957,40306.846,41090.918,41586.105,43251.864,40592.566,40598.21,42654.951,44668.291,47077.881,52504.112,56776.329,56131.764,48848.895,44487.958,43134.853,43959.997,43062.712,43358.504,43313.977,44412.579,44923.222,47170.781,47986.48,38358.547,40891.209,43980.173,44420.471,45455.514,45979.041,46512.089,47080.912,47628.897,48186.058,48752.558
"ATG.NGDPRPPPPC.A","ATG","Antigua and Barbuda","NGDPRPPPPC","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",0,"Units","","","9/22/2025","System of National Accounts (SNA) 1993","Historical values for expenditure based GDP components are not reported by authorities and are estimated by IMF staff using data from balance of payments and fiscal accounts. GDP expenditure component estimates prior 2014 have been removed due to internal inconsistencies arising from methodological changes to international trade estimates from the balance of payments applicable to data reported after 2014. GDP valuation: Nominal and real GDP are measured at market prices. Quarterly GDP is not available.","","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021","2023","Central Bank","2018","January/December","No","Eastern Caribbean dollar",11048.309,11560.348,11684.713,12491.173,13986.289,15311.63,17372.472,18850.685,20133.412,21386.145,22051.964,22349.326,22244.007,22900.767,23812.273,22174.677,23001.248,23592.355,24051.287,24341.129,25316.129,23759.592,23762.895,24966.744,26145.19,27555.568,30731.644,33232.252,32854.976,28592.176,26039.638,25247.64,25730.612,25205.415,25378.547,25352.485,25995.517,26294.406,27609.945,28087.389,22451.979,23934.393,25742.422,26000.136,26605.967,26912.397,27224.4,27557.343,27878.089,28204.205,28535.788
"ARG.NGDP_R.A","ARG","Argentina","NGDP_R","Gross domestic product (GDP), Constant prices, Domestic currency",9,"Billions","XDC","Domestic currency","9/23/2025","System of National Accounts (SNA) 2008","","true","Gross domestic product (GDP), Constant prices, Domestic currency","2024","National Statistics Office","2004","January/December","No","Argentine peso",357.389,336.861,326.255,338.435,345.205,321.209,344.161,352.864,345.959,321.719,317.415,350.738,386.861,411.044,435.006,422.63,445.987,482.16,500.725,483.773,479.956,458.795,408.812,445.423,485.115,528.056,570.549,621.943,647.176,608.873,670.524,710.782,703.486,720.407,702.306,721.487,706.478,726.39,707.377,693.224,624.591,689.81,731.342,717.769,708.13,739.746,769.265,799.805,830.566,860.641,888.244
"ARG.NGDPRPC.A","ARG","Argentina","NGDPRPC","Gross domestic product (GDP), Constant prices, Per capita, Domestic currency",0,"Units","XDC","Domestic currency","9/23/2025","System of National Accounts (SNA) 2008","","true","Gross domestic product (GDP), Constant prices, Per capita, Domestic currency","2024","National Statistics Office","2004","January/December","No","Argentine peso",12786.71,11840.457,11277.386,11534.935,11568.524,10583.481,11195.868,11349.749,10993.308,10097.883,9757.616,10638.092,11575.747,12118.956,12662.81,12151.827,12671.671,13542.171,13906.943,13290.99,13048.002,12347.749,10897.113,11761.974,12690.696,13682.988,14640.504,15802.837,16282.958,15170.838,16439.056,17226.271,16856.718,17070.071,16459.205,16727.435,16207.201,16492.066,15898.087,15425.983,13764.562,15058.476,15817.98,15384.759,15027.874,15543.389,16003.603,16474.204,16938.422,17377.997,17757.776
"ARG.NGDPRPPPPC.A","ARG","Argentina","NGDPRPPPPC","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",0,"Units","","","9/23/2025","System of National Accounts (SNA) 2008","","","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021","2024","National Statistics Office","2004","January/December","No","Argentine peso",22090.501,20455.741,19482.972,19927.917,19985.946,18284.172,19342.141,19607.988,18992.194,17445.245,16857.396,18378.519,19998.425,20936.88,21876.45,20993.669,21891.758,23395.646,24025.832,22961.702,22541.912,21332.146,18826.007,20320.153,21924.626,23638.925,25293.143,27301.205,28130.67,26209.355,28400.347,29760.349,29121.905,29490.497,28435.156,28898.553,27999.79,28491.928,27465.76,26650.147,23779.853,26015.237,27327.367,26578.928,25962.367,26852.98,27648.051,28461.068,29263.057,30022.474,30678.585
"ARM.NGDP_R.A","ARM","Armenia, Republic of","NGDP_R","Gross domestic product (GDP), Constant prices, Domestic currency",9,"Billions","XDC","Domestic currency","9/16/2025","System of National Accounts (SNA) 2008","NGDP_R quarterly series is seasonally adjusted. NGDP_R annual series is not seasonally adjusted.","true","Gross domestic product (GDP), Constant prices, Domestic currency","2024","National Statistics Office","2005","January/December","No","Armenian dram",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,992.566,853.07,899.136,972.84,1030.054,1063.47,1140.863,1179.479,1245.146,1364.686,1566.012,1785.893,1970.803,2242.881,2538.896,2887.974,3088.621,2651.584,2709.916,2837.273,3039.694,3143.407,3256.776,3362.748,3369.306,3622.609,3811.884,4102.782,3811.286,4031.183,4537.858,4916.621,5204.303,5454.11,5721.361,6036.036,6325.766,6610.425,6907.895
"ARM.NGDPRPC.A","ARM","Armenia, Republic of","NGDPRPC","Gross domestic product (GDP), Constant prices, Per capita, Domestic currency",0,"Units","XDC","Domestic currency","9/16/2025","System of National Accounts (SNA) 2008","NGDP_R quarterly series is seasonally adjusted. NGDP_R annual series is not seasonally adjusted.","true","Gross domestic product (GDP), Constant prices, Per capita, Domestic currency","2024","National Statistics Office","2005","January/December","No","Armenian dram",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,287700.239,253136.512,276270.399,299574.99,317711.843,328723.529,353262.986,366172.824,387678.453,426497.625,492069.691,564280.901,626367.694,717239.903,817061.612,935512.48,1007377.952,873078.81,897278.645,938205.215,1005855.222,1042987.047,1083930.103,1123762.979,1130848.244,1220144.478,1286711.807,1385372.787,1286575.182,1357643.53,1520653.551,1620668.006,1670299.792,1755867.177,1847845.949,1956085.796,2057211.213,2157612.71,2263098.983
"ARM.NGDPRPPPPC.A","ARM","Armenia, Republic of","NGDPRPPPPC","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",0,"Units","","","9/16/2025","System of National Accounts (SNA) 2008","NGDP_R quarterly series is seasonally adjusted. NGDP_R annual series is not seasonally adjusted.","","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021","2024","National Statistics Office","2005","January/December","No","Armenian dram",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3366.095,2961.699,3232.365,3505.029,3717.231,3846.067,4133.179,4284.224,4535.84,4990.025,5757.219,6602.09,7328.506,8391.711,9559.626,10945.502,11786.328,10215.028,10498.166,10977.007,11768.513,12202.955,12681.989,13148.034,13230.932,14275.698,15054.536,16208.87,15052.938,15884.438,17791.656,18961.826,19542.518,20543.657,21619.809,22886.216,24069.384,25244.083,26478.273
